Sigla,Dep,Carater,Creditos,Dia1,Dia2,Horario,Professor,Nome Extenso
EBC I,ECO,OBRIG,4,SEG,QUA,20:30,Conceiçao,Economia Brasileira Contemporanea I
EAP,ECO,OBRIG,4,SEX,,18:30,Leticia Oliveira,Elaboração e análise de projetos
TTP,ECO,OBRIG,4,TER,QUI,18:30,Sergio Monteiro,Técnica de pesquisa e projeto do trabalho de diplomação
ADMF,ADM,ELET,4,TER,QUI,07:30,André Martinewki,Administração financeira
ADMF,ADM,ELET,4,SEG,QUA,18:30,Jairo Procianoy,Administração financeira
ADMF,ADM,ELET,4,SEG,QUA,20:30,Jairo Procianoy,Administração financeira
AG&D,ECO,ELET,4,SEG,QUA,18:30,Marcelo Conterato,Agricultura e Desenvolvimento
AnC,ECO,ELET,4,TER,QUI,11:30,Andre Cunha/Ferrari,Analise da Conjuntura
AnM,MAT,ELET,4,TER,QUI,10:30,,Analise Matematica A
ANTROP,HUM,ELET,4,QUA,,13:30,Janaina Lobo,Antropologia Introdução
ApM,MAT,ELET,4,TER,QUI,18:30,,Aplicacoes da Matematica
CULB,HUM,ELET,4,QUA,,13:30,Alessander Kerber,Cultura Brasileira
CULB,HUM,ELET,4,QUI,,18:30,Alessander Kerber,Cultura Brasileira
DESENV,ECO,ELET,4,SEG,QUA,18:30,Glaisson,Desenvolvimento e Politicas industriais
ECOPBZ,ECO,ELET,4,SEG,QUA,09:30,Flavio Comin,Economia da Pobreza
ESocAmb,ECO,ELET,4,TER,QUI,07:30,Rumi Kubo,Economia e Projetos SocioAmbientais
ESocTrab,ECO,ELET,4,TER,QUI,09:30,Cassio Calvete,Economia Social e do Trabalho
MONII,ECO,ELET,4,TER,QUI,20:30,Lima,Economia Monetaria II
EcoSol,ECO,ELET,4,SAB,,08:30,Nilton Bem,Economia Solidaria
LegTrib,DIR,ELET,4,TER,QUI,18:30,Maria Pelleza,Instituicoes de direito publico e legislacao Tributaria
JOGOS,ECO,ELET,4,TER,QUI,11:30,Sabino,Teoria dos Jogos
TEE,ECO,ELET,4,TER,QUI,09:30,Janice,Topicos especiais em economia
TEE,ECO,ELET,4,SEG,QUA,11:30,Sabino,Topicos especiais em economia
SetPub,ECO,ELET,4,QUA,,13:30,Ario Zimmermann,Topicos especiais em economia do setor publico
